word,phonetic,definition_en,definition_ja,sentence_1,sentence_2,sentence_3
hear,/hɪər/,To receive sound through your ears.,聞く・聞こえる,I can hear the birds singing.,Did you hear the news?,Can you hear me?
country,/ˈkʌn.tri/,A nation with its own government.,国,Japan is a beautiful country.,Which country do you want to visit?,She has been to many countries.
happen,/ˈhæp.ən/,To take place or occur.,起こる・生じる,What happened yesterday?,Accidents can happen anytime.,Something strange happened today.
talk,/tɔːk/,To speak with someone.,話す,Let's talk about the trip.,She talked to the teacher.,I want to talk to you.
idea,/aɪˈdɪə/,A thought or plan in your mind.,考え・意見,That is a wonderful idea!,Do you have any ideas?,She had a good idea.
hold,/həʊld/,To carry something in your hands.,手に持つ・抱く,Please hold this bag for me.,She held the baby carefully.,Hold my hand.
family,/ˈfæm.ə.li/,Parents and their children.,家族・家庭,I love my family very much.,Her family is very large.,We had dinner with my family.
hour,/aʊər/,A period of sixty minutes.,1時間,The movie is two hours long.,I studied for one hour.,We arrived an hour early.
sit,/sɪt/,To rest your body on a chair or the floor.,座る,Please sit down.,She sat on the bench.,I sat next to my friend.
set,/set/,To put something in a place or position.,準備する・置く,I set the alarm for six.,She set the plates on the table.,Let's set a time to meet.
young,/jʌŋ/,Not old or in the early part of life.,若い・幼い,She is a young teacher.,He looks very young.,Young people like this music.
head,/hed/,The top part of your body.,頭,I have a pain in my head.,She shook her head.,He hit his head on the door.
change,/tʃeɪndʒ/,To make or become different.,変える・交換する,Can you change seats with me?,The weather changed suddenly.,I want to change my hairstyle.
meet,/miːt/,To see and talk to someone for the first time.,出会う・会う,Nice to meet you.,I met her at the library.,Let's meet at the station.
stand,/stænd/,To be on your feet.,立つ,Please stand up.,He stood near the door.,She was standing in the rain.
person,/ˈpɜː.sən/,A human being.,人,She is a very nice person.,Each person has one ticket.,He is the right person for the job.
a lot,/ə lɒt/,A large amount or very much.,たくさん,Thank you a lot!,I learned a lot today.,She reads a lot.
sure,/ʃɔːr/,Certain or confident about something.,確信している・きっと,Are you sure about that?,I am sure she will come.,Sure! I can help you.
later,/ˈleɪ.tər/,At a time in the future.,あとで,See you later!,I will call you later.,Let's talk about it later.
power,/ˈpaʊ.ər/,The ability to do something or control others.,力・権力,Knowledge is power.,The storm cut the power.,He has the power to change things.
understand,/ˌʌn.dəˈstænd/,To know the meaning of something.,理解する,I understand the question.,Do you understand English?,She understood the lesson well.
decide,/dɪˈsaɪd/,To make a choice about something.,決心する・決める,I decided to study harder.,She decided to join the club.,Have you decided yet?
wait,/weɪt/,To stay in one place until something happens.,待つ,Please wait a moment.,I waited for the bus.,She is waiting for her friend.
build,/bɪld/,To make something by putting parts together.,建てる・築く,They are building a new school.,He built a birdhouse.,She wants to build a robot.
light,/laɪt/,Something that makes things visible.,光・明かり,Turn on the light please.,The light from the sun is warm.,There is a light in the window.
special,/ˈspeʃ.əl/,Better or different from usual.,特別な,Today is a special day.,She prepared a special dinner.,You are a very special person.
hard,/hɑːd/,Difficult to do or understand.,難しい・大変な,This question is very hard.,She studies hard every day.,It is hard to get up early.
early,/ˈɜː.li/,Before the usual or expected time.,早く,I woke up early this morning.,She came to school early.,Let's start early tomorrow.
passport,/ˈpɑːs.pɔːt/,An official book for travel to other countries.,パスポート,Don't forget your passport.,I got a new passport.,Show your passport at the airport.
ticket,/ˈtɪk.ɪt/,A small paper that shows you have paid.,航空券・切符,I bought a train ticket.,Where can I buy a ticket?,She lost her movie ticket.
airport,/ˈeə.pɔːt/,A place where airplanes take off and land.,空港,We arrived at the airport early.,The airport is very big.,My father works at the airport.
miss,/mɪs/,To fail to catch or be too late for.,乗り遅れる・逃す,I missed the last train.,Don't miss this chance.,She missed the bus this morning.
lose,/luːz/,To no longer have something.,なくす,I lost my wallet.,Don't lose your key.,She lost her way in the city.
subway,/ˈsʌb.weɪ/,A train that runs underground.,地下鉄,Let's take the subway.,The subway is very fast.,I ride the subway to school.
bus stop,/bʌs stɒp/,A place where buses stop for passengers.,バス乗り場・バスの停留所,Wait for me at the bus stop.,The bus stop is across the street.,She is standing at the bus stop.
on foot,/ɒn fʊt/,By walking.,徒歩で,I go to school on foot.,The park is ten minutes on foot.,She came here on foot.
get on,/ɡet ɒn/,To go onto a bus or train.,～に乗る,Let's get on the bus.,She got on the train at Shibuya.,Please get on the next bus.
bicycle,/ˈbaɪ.sɪ.kəl/,A vehicle with two wheels that you ride.,自転車,I ride a bicycle to school.,He bought a new bicycle.,She can fix a bicycle.
member,/ˈmem.bər/,A person who belongs to a group.,メンバー・会員,I am a member of the tennis club.,She is a new member.,All members came to the meeting.
month,/mʌnθ/,One of the twelve parts of a year.,月・ひと月,January is the first month.,I have been here for three months.,What month is it now?
already,/ɔːlˈred.i/,Before now or before a particular time.,既に・もう,I have already finished my homework.,She has already left.,Have you already eaten lunch?
example,/ɪɡˈzɑːm.pəl/,Something that shows what others are like.,例,For example I like tennis.,Can you give me an example?,This is a good example.
line,/laɪn/,A long thin mark on a surface.,線,Draw a straight line.,There is a long line at the store.,Stand in line please.
minute,/ˈmɪn.ɪt/,A period of sixty seconds.,分,Wait a minute please.,The station is five minutes away.,I finished in ten minutes.
left,/left/,On the side of your body where your heart is.,左の・左側の,Turn left at the corner.,My left hand hurts.,The library is on the left.
full,/fʊl/,Having no empty space.,いっぱいの,The bus was full of people.,I am full after lunch.,The glass is full of water.
paper,/ˈpeɪ.pər/,Thin material used for writing.,紙・書類,I need a piece of paper.,She wrote on the paper.,Please hand in your paper.
far,/fɑːr/,A long distance away.,遠い,How far is the station?,My school is not far from here.,She lives far from the city.
morning,/ˈmɔː.nɪŋ/,The first part of the day.,朝,Good morning everyone!,I study in the morning.,She jogs every morning.
only,/ˈəʊn.li/,Nothing more or no one else.,唯一の・ただ～だけの,I have only one sister.,She is the only girl in the team.,I ate only a little rice.
city,/ˈsɪt.i/,A large town.,都市・都会,Tokyo is a big city.,I want to live in a city.,The city is very busy.
hope,/həʊp/,To want something to happen.,望む・期待する,I hope you feel better soon.,She hopes to visit Japan.,We hope to win the game.
spend,/spend/,To use time or money.,（お金・時間を）使う・費やす,I spent two hours studying.,She spends money carefully.,We spent the day at the beach.
once,/wʌns/,One time only.,一度,I have been there once.,Once upon a time there was a king.,She visits her grandmother once a month.
difficult,/ˈdɪf.ɪ.kəlt/,Not easy to do or understand.,難しい・困難な,This question is very difficult.,Japanese is a difficult language.,The test was not difficult.
win,/wɪn/,To come first in a game or contest.,勝つ,Our team won the game.,She wants to win the race.,Who won the match?
sometimes,/ˈsʌm.taɪmz/,On some occasions but not always.,時々・たまに,I sometimes eat curry.,She sometimes walks to school.,He sometimes forgets his lunch.
easy,/ˈiː.zi/,Not difficult to do.,簡単な,This game is very easy.,English is not always easy.,That was an easy question.
break,/breɪk/,To separate into pieces by force.,壊す・骨折する,Don't break the window.,He broke his leg last week.,She broke a glass yesterday.
wrong,/rɒŋ/,Not correct or not right.,間違った・悪い,Your answer is wrong.,What is wrong with you?,I took the wrong train.
eat,/iːt/,To put food in your mouth and swallow it.,食べる,I eat breakfast every day.,What did you eat for lunch?,She eats a lot of vegetables.
sorry,/ˈsɒr.i/,Feeling sad about something you did.,すまないと思う・ごめんなさい,I am sorry I am late.,Sorry I broke your cup.,She said sorry to him.
teach,/tiːtʃ/,To help someone learn something.,教える,My mother teaches English.,She taught me how to cook.,Who teaches your math class?
hot,/hɒt/,Having a high temperature.,暑い・熱い,It is very hot today.,The tea is too hot to drink.,Summer in Tokyo is very hot.
dad,/dæd/,A word for father used in conversation.,（会話で）お父さん,My dad is a teacher.,I helped my dad in the garden.,Dad cooks dinner on weekends.
study,/ˈstʌd.i/,To learn about a subject.,勉強する,I study English every day.,She studies hard for tests.,Where do you usually study?
town,/taʊn/,A place with houses and shops smaller than a city.,町・町なか,I live in a small town.,The town has a beautiful park.,We walked around the town.
certainly,/ˈsɜː.tən.li/,Without any doubt.,確かに・必ず,She is certainly very smart.,Certainly I will help you.,He will certainly pass the test.
open,/ˈəʊ.pən/,Not closed or to make something not closed.,開いている・開ける,The door is open.,Please open your textbook.,The store is open until nine.
church,/tʃɜːtʃ/,A building where people go to pray.,教会,There is an old church in our town.,We visited a beautiful church.,The church has a tall tower.
die,/daɪ/,To stop living.,死ぬ,The flowers died without water.,His grandfather died last year.,Many fish die in polluted water.
draw,/drɔː/,To make a picture with a pen or pencil.,（ペンなどで）描く,I like to draw animals.,She drew a picture of her cat.,Can you draw a map for me?
short,/ʃɔːt/,Not long or not tall.,背が低い・短い,She has short hair.,The movie was very short.,He is shorter than his brother.
south,/saʊθ/,The direction opposite to north.,南・南部,Okinawa is in the south of Japan.,Birds fly south in winter.,The wind comes from the south.
difference,/ˈdɪf.ər.əns/,The way things are not the same.,違い,Can you see the difference?,There is a big difference between them.,What is the difference?
north,/nɔːθ/,The direction that is up on a map.,北・北部,Hokkaido is in the north.,The wind blows from the north.,We traveled to the north.
learn,/lɜːn/,To get knowledge or skill.,学ぶ・習う,I want to learn French.,She learned to swim last summer.,We learn many things at school.
teacher,/ˈtiː.tʃər/,A person who teaches at a school.,先生・教師,My teacher is very kind.,I want to be a teacher.,The teacher helped me with math.
parent,/ˈpeər.ənt/,A father or a mother.,親,My parents are very kind.,She lives with her parents.,I love my parents very much.
pass,/pɑːs/,To go past something or to succeed.,通る・合格する,We passed the park on the way.,She passed the exam.,Please pass me the salt.
soon,/suːn/,In a short time from now.,まもなく・もうすぐ,The bus will come soon.,See you soon!,Spring will come soon.
free,/friː/,Not costing any money or not busy.,無料の・自由な,This app is free.,Are you free tomorrow?,The concert tickets are free.
story,/ˈstɔː.ri/,A description of events that may be real or not.,話・物語,She told me a funny story.,I read a story before bed.,This is a famous story.
wife,/waɪf/,A married woman.,妻・奥さん,His wife is a teacher.,My wife likes cooking.,He gave flowers to his wife.
piece,/piːs/,A part of something larger.,一片・一切れ,Can I have a piece of cake?,She cut the paper into pieces.,I need a piece of advice.
west,/west/,The direction where the sun goes down.,西・西部,The sun sets in the west.,She traveled to the west.,The wind blows from the west.
hospital,/ˈhɒs.pɪ.təl/,A place where sick people go for treatment.,病院,She went to the hospital.,The hospital is near the station.,My grandmother is in the hospital.
language,/ˈlæŋ.ɡwɪdʒ/,A system of words people use to communicate.,言語・語学,How many languages do you speak?,English is a useful language.,She is studying a new language.
picture,/ˈpɪk.tʃər/,A drawing or photograph.,絵・写真,She took a picture of the flowers.,I drew a picture of my dog.,Look at this picture.
doctor,/ˈdɒk.tər/,A person who helps sick people get better.,医師,I went to see a doctor.,She wants to be a doctor.,The doctor gave me some medicine.
fire,/faɪər/,The heat and light from something burning.,火・火事,Be careful with fire.,There was a fire in the building.,We sat around the fire.
wear,/weər/,To have clothes on your body.,身につける・着ている,I wear a uniform to school.,She is wearing a red hat.,He wears glasses.
top,/tɒp/,The highest point or part.,頂上・最高部,We climbed to the top of the hill.,Put it on top of the desk.,He finished at the top of his class.
join,/dʒɔɪn/,To become a member of a group.,加わる・参加する,I want to join the soccer club.,She joined the drama club.,Will you join us for lunch?
field,/fiːld/,A large open area of land.,野原・競技場,The children are playing in the field.,We practiced on the soccer field.,The field is full of flowers.
university,/ˌjuː.nɪˈvɜː.sə.ti/,A place where people study after high school.,（総合）大学,She goes to a university in Tokyo.,My brother is at university.,I want to go to university.
poor,/pɔːr/,Having very little money.,貧しい,The poor boy had no shoes.,She helps poor children.,We should help poor people.
evening,/ˈiːv.nɪŋ/,The part of the day between afternoon and night.,夕方・晩,Good evening!,I read books in the evening.,We had dinner in the evening.
especially,/ɪˈspeʃ.əl.i/,More than usual or more than others.,特に,I like fruit especially apples.,She is especially good at math.,The park is beautiful especially in spring.
hair,/heər/,The thin threads growing on your head.,髪の毛・毛,She has long black hair.,I cut my hair yesterday.,He brushes his hair every morning.
size,/saɪz/,How big or small something is.,大きさ・サイズ,What size shoes do you wear?,This shirt is the wrong size.,The size of the room is small.
finish,/ˈfɪn.ɪʃ/,To complete something or bring to an end.,終える・終わる,I finished my homework.,The movie will finish at nine.,She finished reading the book.
lady,/ˈleɪ.di/,A polite word for a woman.,婦人・女性,The lady smiled at me.,Ladies and gentlemen!,An old lady lives next door.
east,/iːst/,The direction where the sun comes up.,東・東部,The sun rises in the east.,Tokyo is in the east of Japan.,We traveled east.
central,/ˈsen.trəl/,In the center or middle of something.,中心的な・主要な,The hotel is in a central location.,Central Park is in New York.,This is a central problem.
catch,/kætʃ/,To grab something that is moving.,捕まえる・とる,Catch the ball!,He caught a big fish.,She ran to catch the bus.
save,/seɪv/,To keep someone or something from danger.,救う・貯める,He saved the cat from the tree.,She saves money every month.,I want to save the environment.
son,/sʌn/,A male child.,息子,He has two sons.,My son is ten years old.,Her son goes to this school.
restaurant,/ˈres.tər.ɒnt/,A place where you pay to eat meals.,レストラン,Let's go to a restaurant.,This restaurant has good pizza.,The restaurant is always busy.
breakfast,/ˈbrek.fəst/,The first meal of the day.,朝食,I eat breakfast at seven.,What did you have for breakfast?,Breakfast is very important.
lunch,/lʌntʃ/,A meal eaten in the middle of the day.,昼食,Let's eat lunch together.,I brought my lunch to school.,What is for lunch today?
dinner,/ˈdɪn.ər/,The main meal of the day usually eaten in the evening.,夕食,Dinner is ready!,We had dinner at home.,What time do you eat dinner?
menu,/ˈmen.juː/,A list of food you can order at a restaurant.,メニュー,Can I see the menu please?,What is on the menu today?,She looked at the menu carefully.
dessert,/dɪˈzɜːt/,Sweet food eaten after a meal.,デザート,Would you like some dessert?,Ice cream is my favorite dessert.,She made a delicious dessert.
knife,/naɪf/,A tool with a sharp edge for cutting.,ナイフ・包丁,Use a knife to cut the bread.,She picked up a knife and fork.,Be careful with the knife.
pepper,/ˈpep.ər/,A spice used to add flavor to food.,コショウ,Please pass the pepper.,I put pepper on my soup.,Do you like pepper?
sugar,/ˈʃʊɡ.ər/,A sweet substance added to food and drinks.,砂糖,Do you take sugar in your tea?,Too much sugar is not healthy.,I put sugar in my coffee.
hotel,/həʊˈtel/,A building where you pay to stay in a room.,ホテル,We stayed at a nice hotel.,The hotel is near the beach.,I booked a hotel for two nights.
stay,/steɪ/,To remain in a place.,滞在する・泊まる,I will stay home today.,She stayed at a hotel.,How long will you stay here?
interesting,/ˈɪn.trəs.tɪŋ/,Making you want to know more.,興味深い・面白い,This book is very interesting.,That was an interesting story.,Japan has many interesting places.
arm,/ɑːm/,The long part of your body from shoulder to hand.,腕,She broke her arm last week.,He carried the box in his arms.,Raise your right arm.
test,/test/,A set of questions to measure your knowledge.,試験・テスト,We have a test tomorrow.,She passed the test.,I studied hard for the test.
space,/speɪs/,An empty area or the area beyond Earth.,空間・スペース・宇宙,There is no space in the room.,Astronauts travel to space.,I need more space for my books.
wide,/waɪd/,Having a large distance from side to side.,幅の広い,The river is very wide.,Open your eyes wide.,The road is wide enough for two cars.
floor,/flɔːr/,The bottom surface of a room.,床,Please clean the floor.,She sat on the floor.,My classroom is on the third floor.
thank,/θæŋk/,To tell someone you are grateful.,感謝する・お礼を言う,I want to thank you for your help.,She thanked the teacher.,Thank you very much!
village,/ˈvɪl.ɪdʒ/,A very small town in the countryside.,村,My grandmother lives in a village.,The village is very quiet.,We visited a small village.
throw,/θrəʊ/,To send something through the air with your hand.,投げる,Throw the ball to me.,She threw the ball far.,Don't throw stones.
college,/ˈkɒl.ɪdʒ/,A school for higher education.,（単科）大学,She is going to college next year.,He studied music at college.,The college is near the station.
hall,/hɔːl/,A large room or passage in a building.,ホール・廊下,We gathered in the hall.,The concert hall is very big.,Walk down the hall to the right.
quickly,/ˈkwɪk.li/,In a fast way.,素早く・急いで,He ran quickly to school.,Please finish quickly.,She quickly opened the door.
husband,/ˈhʌz.bənd/,A married man.,夫,Her husband is a doctor.,My husband cooks dinner.,She loves her husband.
heart,/hɑːt/,The organ in your chest that pumps blood.,心臓・ハート,My heart was beating fast.,She drew a heart on the card.,He has a kind heart.
ready,/ˈred.i/,Prepared and able to do something.,準備ができている,Are you ready for school?,I am ready to go.,Lunch is ready.
century,/ˈsen.tʃər.i/,A period of one hundred years.,世紀,We live in the 21st century.,The castle is from the 16th century.,Many things changed in the last century.
hit,/hɪt/,To touch something with force.,打つ・ぶつかる,He hit the ball with the bat.,Don't hit your brother.,The ball hit the window.
sound,/saʊnd/,Something you hear.,音・～に聞こえる,I heard a strange sound.,That sounds like a good idea.,The bell made a loud sound.
push,/pʊʃ/,To press against something to move it.,押す,Push the door to open it.,She pushed the button.,Don't push me!
leader,/ˈliː.dər/,A person who guides or directs others.,指導者・リーダー,She is the leader of our group.,He is a good leader.,The team leader spoke first.
daughter,/ˈdɔː.tər/,A female child.,娘,She has two daughters.,My daughter is eight years old.,His daughter likes reading.
dead,/ded/,No longer alive.,死んでいる,The flowers are dead.,He found a dead bird.,The battery is dead.
interested,/ˈɪn.trəs.tɪd/,Wanting to know more about something.,興味がある,I am interested in history.,She is interested in music.,Are you interested in cooking?
heavy,/ˈhev.i/,Having a lot of weight.,重い,This box is very heavy.,The rain was heavy yesterday.,She carried a heavy bag.
sea,/siː/,A large area of salt water.,海,We went to the sea last summer.,The sea is very beautiful.,Fish live in the sea.
stone,/stəʊn/,A small piece of rock.,石,He picked up a stone.,The wall is made of stone.,She threw a stone into the river.
front,/frʌnt/,The part that faces forward.,前方・正面,I sat in the front of the class.,The garden is in front of the house.,She stood in front of the mirror.
seat,/siːt/,A place where you can sit.,席・座席,Is this seat free?,Please take a seat.,She found a seat on the train.
science,/ˈsaɪ.əns/,The study of the natural world.,科学,I like science class.,Science helps us understand nature.,She wants to study science.
half,/hɑːf/,One of two equal parts.,半分,Half of the cake is left.,It is half past three.,I ate half of the apple.
useful,/ˈjuːs.fəl/,Helpful and practical.,役に立つ・便利な,This dictionary is very useful.,English is useful for travel.,That is useful information.
kitchen,/ˈkɪtʃ.ɪn/,The room where you cook food.,台所,My mother is in the kitchen.,We have a big kitchen.,I helped clean the kitchen.
art,/ɑːt/,The making of paintings and drawings.,芸術・美術,She is very good at art.,We have art class on Friday.,I like looking at art.
beautiful,/ˈbjuː.tɪ.fəl/,Very pretty or pleasing to look at.,美しい・きれいな,What a beautiful flower!,She has a beautiful voice.,The sunset was beautiful.
earth,/ɜːθ/,The planet we live on.,地球,The earth goes around the sun.,We should protect the earth.,The earth is very beautiful from space.
finger,/ˈfɪŋ.ɡər/,One of the five parts at the end of your hand.,（手の）指,She cut her finger.,I held up three fingers.,He pointed his finger at the map.
phone,/fəʊn/,A device used to talk to people far away.,電話,My phone is ringing.,Can I use your phone?,She is talking on the phone.
season,/ˈsiː.zən/,One of the four parts of the year.,季節・シーズン,Spring is my favorite season.,Japan has four seasons.,What season do you like best?
dark,/dɑːk/,Having little or no light.,暗い,The room is very dark.,It gets dark early in winter.,She is afraid of the dark.
cheap,/tʃiːp/,Not costing a lot of money.,安い,This bag is very cheap.,The food here is cheap and good.,I found a cheap ticket.
river,/ˈrɪv.ər/,A long flow of water across the land.,川,We swam in the river.,The river is very long.,A bridge crosses the river.
library,/ˈlaɪ.brər.i/,A place where you can borrow books.,図書館,I go to the library every week.,The library has many books.,She studies at the library.
drink,/drɪŋk/,To take liquid into your mouth.,飲む,I drink water every morning.,Would you like something to drink?,She drinks milk at breakfast.
star,/stɑːr/,A bright point of light in the night sky.,星,The stars are beautiful tonight.,I can see many stars.,She wants to be a movie star.
farm,/fɑːm/,A place where food is grown or animals are kept.,農場,We visited a farm last weekend.,The farm has cows and chickens.,My uncle has a big farm.
quick,/kwɪk/,Done in a short time.,素早い・短時間の,Let's have a quick lunch.,She gave a quick answer.,He took a quick look.
fly,/flaɪ/,To move through the air.,飛ぶ・飛行機で行く,Birds can fly.,I flew to Hokkaido last summer.,The airplane is flying very high.
travel,/ˈtræv.əl/,To go from one place to another.,旅行する,I like to travel by train.,She traveled to many countries.,We traveled around Japan.
sleep,/sliːp/,To rest with your eyes closed.,寝る,I slept for eight hours.,She sleeps early every night.,I could not sleep last night.
driver,/ˈdraɪ.vər/,A person who drives a vehicle.,運転手,The bus driver was very kind.,My father is a good driver.,She wants to be a taxi driver.
key,/kiː/,A small metal object that opens a lock.,鍵,I lost my key.,Where is the house key?,She put the key in her pocket.
telephone,/ˈtel.ɪ.fəʊn/,A device for talking to people far away.,電話,The telephone is ringing.,She answered the telephone.,May I use your telephone?
wind,/wɪnd/,Moving air outside.,風,The wind is very strong today.,The wind blew my hat away.,A cold wind is blowing.
clothes,/kləʊðz/,Things you wear on your body.,服,I need to wash my clothes.,She bought new clothes.,Put on warm clothes.
warm,/wɔːm/,Having a comfortable level of heat.,温かい・暖かい,The room is nice and warm.,She wore a warm coat.,It is warm today.
newspaper,/ˈnjuːz.peɪ.pər/,Printed paper with news and articles.,新聞,My father reads the newspaper.,I saw it in the newspaper.,She delivers newspapers in the morning.
deep,/diːp/,Going far down from the surface.,深い,The lake is very deep.,Don't go into the deep water.,She took a deep breath.
sing,/sɪŋ/,To make music with your voice.,歌う,I like to sing songs.,She sings very well.,We sang a song together.
kid,/kɪd/,A child or young person.,（日常会話で）子ども,The kids are playing outside.,She is a smart kid.,I was a quiet kid.
rich,/rɪtʃ/,Having a lot of money.,裕福な,He is a very rich man.,The country is rich in nature.,She became rich and famous.
twice,/twaɪs/,Two times.,二度,I brush my teeth twice a day.,She visited London twice.,I called you twice yesterday.
race,/reɪs/,A competition to see who is fastest.,競走・レース,He won the race.,Let's have a running race.,The race starts at ten.
yard,/jɑːd/,An area of ground next to a house.,庭,The children played in the yard.,We have a small yard.,She grows flowers in the yard.
bedroom,/ˈbed.ruːm/,A room where you sleep.,寝室,My bedroom is upstairs.,She cleaned her bedroom.,The house has three bedrooms.
quiet,/ˈkwaɪ.ət/,Making little or no noise.,静かな,Please be quiet in the library.,The street is very quiet.,She is a quiet girl.
weather,/ˈweð.ər/,The condition of the air outside.,天気,The weather is nice today.,What is the weather like?,The weather will be rainy tomorrow.
careful,/ˈkeə.fəl/,Paying attention to avoid mistakes or danger.,注意深い・慎重な,Be careful when you cross the road.,She is very careful with her work.,Please be careful with this glass.
best,/best/,Of the highest quality.,いちばん良い,This is the best movie ever.,She is my best friend.,I did my best on the test.
professional,/prəˈfeʃ.ən.əl/,Doing something as a job rather than a hobby.,プロの・専門職の,He is a professional soccer player.,She is a professional singer.,The work looks very professional.
speech,/spiːtʃ/,A talk given to a group of people.,演説・スピーチ,She gave a great speech.,I made a speech at the ceremony.,His speech was very moving.
double,/ˈdʌb.əl/,Twice as much or having two parts.,二重の・二倍の,I would like a double room please.,She ordered a double burger.,The price is double now.
bridge,/brɪdʒ/,A structure built over water or a road.,橋,We crossed the bridge.,The bridge is very old.,There is a bridge over the river.
band,/bænd/,A group of people who play music together.,楽団・バンド,He plays guitar in a band.,The band gave a great concert.,I want to join a band.
cross,/krɒs/,To go from one side to the other.,横断する・渡る,Look both ways before you cross.,She crossed the street safely.,We crossed the bridge.
rock,/rɒk/,A large piece of stone.,岩・石,He sat on a big rock.,The mountain is made of rock.,She found a beautiful rock.
ring,/rɪŋ/,A circular piece of jewelry worn on the finger.,指輪,She wears a gold ring.,He gave her a diamond ring.,I found a ring on the ground.
address,/əˈdres/,The details of where someone lives.,住所,What is your address?,Please write your address here.,I forgot the address.
outside,/ˌaʊtˈsaɪd/,Not inside a building.,外で・外に,Let's play outside.,It is cold outside today.,The dog is waiting outside.
title,/ˈtaɪ.təl/,The name of a book or movie.,表題・タイトル,What is the title of this book?,I forgot the title of the movie.,She chose a good title for her essay.
shout,/ʃaʊt/,To speak very loudly.,叫ぶ・大声で言う,Don't shout in the classroom.,He shouted my name.,She shouted for help.
magazine,/ˌmæɡ.əˈziːn/,A thin book with stories and pictures.,雑誌,I read a fashion magazine.,She bought a sports magazine.,There are many magazines in the store.
wonderful,/ˈwʌn.dər.fəl/,Extremely good or pleasing.,すばらしい・すてきな,We had a wonderful time.,What wonderful weather!,She is a wonderful teacher.
shoe,/ʃuː/,A covering for your foot.,靴,I bought new shoes.,These shoes are too small.,Take off your shoes at the door.
present,/ˈprez.ənt/,Something you give to someone on a special day.,プレゼント・おくり物,I got a present for my birthday.,She gave me a nice present.,What present do you want?
zebra,/ˈzeb.rə/,A black and white striped animal from Africa.,シマウマ,We saw a zebra at the zoo.,Zebras live in Africa.,The zebra has black and white stripes.
deer,/dɪər/,A wild animal with long legs that lives in forests.,鹿,I saw a deer in Nara.,Deer are beautiful animals.,The deer ate the leaves.
sheep,/ʃiːp/,A farm animal that gives us wool.,羊,The farmer has many sheep.,Sheep eat grass in the field.,We counted the sheep.
fox,/fɒks/,A wild animal that looks like a small dog.,キツネ,We saw a fox in the forest.,The fox ran into the woods.,A red fox lives near our house.
rat,/ræt/,A small animal with a long tail.,（大型の）ネズミ,I saw a rat in the garden.,Rats are very clever animals.,The cat chased the rat.
kangaroo,/ˌkæŋ.ɡəˈruː/,A large Australian animal that jumps.,カンガルー,Kangaroos live in Australia.,The kangaroo carried its baby.,We saw a kangaroo at the zoo.
bear,/beər/,A large strong animal with thick fur.,クマ,Bears live in the mountains.,We saw a bear at the zoo.,The bear caught a fish.
duck,/dʌk/,A water bird with a flat beak.,カモ・アヒル,The ducks are swimming in the pond.,I like feeding the ducks.,The duck has yellow babies.
penguin,/ˈpeŋ.ɡwɪn/,A black and white bird that cannot fly.,ペンギン,Penguins live in cold places.,The penguin waddled on the ice.,We saw penguins at the aquarium.
dream,/driːm/,Pictures and thoughts in your mind while you sleep.,夢・理想,I had a nice dream last night.,My dream is to travel the world.,She dreams of becoming a singer.
dry,/draɪ/,Not wet.,乾燥した・乾いた,The clothes are dry now.,It is a dry and sunny day.,Please dry your hands.
clean,/kliːn/,Free from dirt.,清潔な・汚れていない,Keep your room clean.,The water is very clean.,She cleaned her desk.
funny,/ˈfʌn.i/,Making you laugh.,面白い・おかしい,He told a funny joke.,That movie was very funny.,She has a funny face.
tooth,/tuːθ/,One of the hard white parts in your mouth.,歯,My tooth hurts.,I lost a tooth yesterday.,Brush your teeth every day.
nurse,/nɜːs/,A person who takes care of sick people.,看護師,The nurse was very kind.,She wants to be a nurse.,The nurse gave me medicine.
dangerous,/ˈdeɪn.dʒər.əs/,Likely to cause harm or injury.,危険な,Swimming alone is dangerous.,That road is very dangerous.,Don't touch! It is dangerous.
gate,/ɡeɪt/,A door in a wall or fence.,門・出入口,Close the gate please.,The school gate opens at eight.,We waited at the gate.
cry,/kraɪ/,To produce tears from your eyes.,泣く,The baby is crying.,Don't cry.,She cried when she heard the news.
bath,/bɑːθ/,Washing your body in a tub of water.,風呂,I take a bath every night.,The bath is warm and nice.,She is in the bath.
lesson,/ˈles.ən/,A period of time for learning.,授業・レッスン,We have six lessons today.,The lesson starts at nine.,She takes piano lessons.
sick,/sɪk/,Not feeling well or having a disease.,気分が悪い・病気の,I feel sick today.,She was sick yesterday.,He stayed home because he was sick.
neck,/nek/,The part of your body between your head and shoulders.,首,I have a pain in my neck.,She wore a necklace around her neck.,Giraffes have long necks.
culture,/ˈkʌl.tʃər/,The customs and beliefs of a group of people.,文化,Japanese culture is very interesting.,I want to learn about other cultures.,Food is a big part of culture.
trip,/trɪp/,A journey to a place and back.,旅行,We went on a school trip.,How was your trip?,I enjoyed the trip to Kyoto.
coat,/kəʊt/,A piece of clothing you wear over other clothes.,コート,Put on your coat.,She bought a warm winter coat.,Hang your coat on the hook.
slowly,/ˈsləʊ.li/,At a low speed.,ゆっくりと,Please speak slowly.,He walked slowly to school.,The turtle moved slowly.
nose,/nəʊz/,The part of your face you breathe through.,鼻,My nose is cold.,She has a small nose.,He blew his nose.
slow,/sləʊ/,Not fast.,（動きが）遅い・ゆっくりした,The bus is very slow today.,He is a slow runner.,Please walk slow.
dear,/dɪər/,A word used to show love or affection.,親愛な・大切な,Dear Mom and Dad.,She is a dear friend.,Oh dear! I forgot my key.
